name,ring,quadrant,isNew,description
RFC / RFD,adopt,techniques,FALSE,"<p>**An RFC is initiated when development begins on a release or initiative that is intended to result in deployment and sufficient information is available to articulate the change.  A change is adding, modifying, or removing anything that could have a direct or indirect effect on services.  All changes must be reviewed and approved prior to release into the test environment either by the CAB, the Technical Change Manager or through an automated continuous deployment process.</p>"
Architectural Decision Record,explore,techniques,TRUE,<p>Architecture Decision Records (ADR) is a technique for capturing important architectural decisions along with their context and cosequences. An architecture decision is a software design choice that addresses a significant requirement. Recommending  to store ADRs in source control instead of other options so that record of decisions remain with code.</p>
CI/CD,adopt,techniques,TRUE,"<p>Continuous integration and continuous delivery embody a culture, set of operating principles, and collection of practices that enable application development teams to deliver code changes more frequently and reliably. IIT favors an 'as code' approach wherever possible.</P>"
COTS & SaaS,adopt,techniques,FALSE,"<p>IIT currenlty uses many SaaS products in our enterprise.  COTS and SaaS Architectures’ refers to solutions where there is a proprietary code-base not under Provincial control; whether these solutions are extensions/additions to the Sector architecture, or whether they are approved variances from it. For example, commercial solutions, proprietary systems, free market systems, licensed services and products.  Improve the description of IIT context.</P>"
API first,adopt,techniques,FALSE,"<p>APIs are an efficient and secure way to share data and expose functionality between government's digital services. ""API First"" is a design principle which stipulates that an API is the first interface for a given application; it is the first artefact to be developed over the data layer, and it is self described.</P>"
MySQL,endure,tools,FALSE,<p>MySQL is an open-source relational database management system (RDBMS) that is stewarded by Oracle Corporation. IIT uses MySQL as an open source data store for COTS applications where PostgreSQL is not an option.</p>
Adobe Livecycle,endure,tools,FALSE,<p>Add Description with IIT Context. How much is there using Adobe Livecycle in the NRM sector?</P>
Ansible,adopt,tools,TRUE,"<p>Ansible is an open-source software provisioning, configuration management, and application-deployment tool enabling infrastructure as code. IIT uses ansible to automate infrastructure and software installations.</P>"
Ant,retire,tools,FALSE,"<p>Apache Ant is a Java library and command-line tool used to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Ant was widely used to support build for legacy IIT applications but has been largely replaced by Maven.</p>"
Apache Tomcat,adopt,tools,FALSE,"<p>Apache TomcatÂ® is an open source implementation of the Java Servlet, JavaServer Pages, Java Expression Language and Java WebSocket technologies. Apache Tomcat is the middleware platform for all Oracle Fusion Middleware applications under transformation and all net new java based applications.</p>"
Artifactory,adopt,tools,FALSE,<p>Artifactory is a Binary Repository Manager product from Jfrog.  IIT uses Artifactory in both mode 1 and mode 2 development models to track dependencies and library management.</p>
BitBucket,adopt,tools,FALSE,<p>Bitbucket is a web-based version control repository hosting service owned by Atlassian used for source code and development projects.  IIT uses bitbucket for private repos not suitable for github.</P>
Elastic Stack,explore,tools,FALSE,"<p>Add Description with IIT Context. Elastic Stack is new name for the ELK Stack.  ELK stack is an acronym for three open source projects: Eliasticsearch, Logstash, and Kibana.  Elasticsearch is a search and analystics engine. Logstash is a server-side data processing pipeline that ingests data from multiple sources and ""stashes"" in Elasticsearch.  Kibana provides capabalities for visualizing data.</P>"
Enterprise Architect,endure,tools,FALSE,"<p>Enterprise Architect helps you trace high-level specifications to analysis, design, implementation, test and maintenance models using UML, SysML, BPMN and other open standards.  IIT transitioned to EA from Designer during ISSS development.  An assessment is currently underway to determine IIT future usage of EA.  ER Studio is emerging as a new data model repository tool.</p>"
ER Studio,explore,tools,TRUE,<p>ER Studio is IIT's emerging replacement for Oracle Designer and Enterprise Architect for managing relational data models.</p>
FilemakerPro,retire,tools,FALSE,"<p>In the past, NRM clients have made use of Filemaker Pro in forms area especially to support data collection business requirements.  Typcially run on local devices and CSVs commonly produced as an exchange format for file based integration for input into enterprise databases.  IIT does not recommend new builds to support form based data collection.  Improve description.</P>"
Form.io,explore,tools,TRUE,"<p>Form.io is a combined Form and API platform for Serverless applications. IIT is currently exploring use cases for Form.io for the NRM sector clients. We want a) for business areas without a dev team to be able to design/deploy forms, and b) for dev teams to be able to embed forms in their custom apps. </P>"
GeoServer,adopt,tools,FALSE,"<p>GeoServer is an open source server for sharing geospatial data. Designed for interoperability, it publishes data from any major spatial data source using open standards. GeoServer implements industry standard OGC protocols such as Web Feature Service (WFS), Web Map Service (WMS), and Web Coverage Service (WCS).</p>"
Github,adopt,tools,FALSE,"<p>Github offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project.  Github is the IIT standard for source control. The province has two organizations registered with github called bcgov and BCDevOps</p>"
Graylog,adopt,tools,FALSE,"<p>Graylog is an open source log management platform introduced into IIT from the NRPP initiative to collect, index and analyze application and system logs from a centralized location. IITs implementation closely resembles the ELK/Elastic stack, but swaps out Kibana (& the optional X-Pack) in favour of Graylog. ELK stack is also explore stage for IIT</P>"
Jasper Reports,adopt,tools,FALSE,"<p>JasperReports Server is a stand-alone and embeddable reporting server. It provides reporting and analytics that can be embedded into a web or mobile application as well as operate as a central information hub for the enterprise by delivering mission critical information on a real-time or scheduled basis to the browser, mobile device, or email inbox in a variety of file formats.  This is the standard reports engine for IIT.</p>"
Jenkins,adopt,tools,FALSE,"<p>Jenkins is a popular open source automation server, Jenkins provides hundreds of plugins to support building, deploying and automating any project. Jenkins is widely used in IIT for build and deployment automation, in both mode 1 and mode 2 development patterns.</p>"
KeyCloak,explore,tools,TRUE,"<p>Keycloak is an open source Identity and Access Management solution aimed at modern applications and services. It makes it easy to secure applications and services with little to no code. Projects being developed on the Openshift platform in the DevExchange are largely using Keycloak, and IIT is currently assessing Keycloak as a replacement for WebADE.</p>"
Keypass,adopt,tools,FALSE,"<p>KeePass is a free and open source, light-weight and easy-to-use password manager primarily for windows.  By default KeePass database is stored on local file systems.   IIT currently uses KeePass for some secret management.</p>"
Maven,adopt,tools,FALSE,"<p>Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information. This is the current IIT standard for build.</p>"
Metabase,explore,tools,TRUE,<p>Metabase is an open source data visualization tool used to deliver business intelligence services.  IIT is currently evaluating Metabase on the Openshift platform.</p>
MongoDB,adopt,tools,TRUE,<p>Improve description for IIT Context. MongoDB is a cross-platform document-oriented database program. Classified as a NoSQL database program. IIT Devops community has made extensive use of MongoDB for different use cases.</P>
MinIO,explore,tools,TRUE,"<p>MinIO is a cloud native storage server compatible with the S3 protocol, released under Apache License v2. IIT uses Minio as an abstraction layer between applications and underlying storage services such as the Dell ECS Object Storage.</P>"
Neo4j,explore,tools,TRUE,"<p>Neo4j is a native graph database platform specifically optimized to map, store and traverse networks of highly connected data to reveal invisible contexts and hidden relationships.  IIT is currently assessing Neo4j for a stream network graph model.</p>"
NGINX,explore,tools,TRUE,"<p>NGINX is a web server that can also be used as a reverse proxy, load balancer, mail proxy and HTTP cache.  IIT uses NGINX (or Kong) as a light weight web server within container based applications.</P>"
OpenKM,explore,tools,TRUE,"<p>OpenKM is a management solution that allows businesses to control the production, storage, management and distribution of electronic documents.  IIT is currently evaluating OpenKM as a ""lift and shift"" replacement for Oracle Webcenter.</p>"
Oracle ,endure,tools,FALSE,<p>Oracle database is a relational database management system (RDBMS) from the Oracle Corporation. Oracle has been widely used by IIT and continues to be a supported platform.  The Oracle database is licensed by the number of cores on the hosting server.</p>
Oracle Designer,retire,tools,FALSE,"<p>Oracle Designer provides a multi-user repository based on Oracle SCM, and is closely integrated with Oracle Forms Developer.  Oracle Designer has been used in IIT for several years.  ER Studio is currently being explore as a replacement for Oracle Designer.</p>"
Oracle Forms,endure,tools,FALSE,"<p>Oracle Forms, a component of Oracle Fusion Middleware, is Oracle's tool for creating and generating forms.  This technology has been deprecated by IIT in favor of Orbeon Forms.</p>"
Oracle Fusion Middleware,endure,tools,FALSE,"<p>Oracle Fusion Middleware is a middlware platform used by a large majority of legacy IIT applications.  It includes the Weblogic java server, the Unified Business and SOA suites (ISSS applications only) and Oracle Forms and Reports (deprecated).  Tomcat is preferred over OFM.</p>"
Oracle Reports,endure,tools,FALSE,"<p>Oracle Reports, a component of Oracle Fusion Middleware, is Oracle's enterprise reporting tool. This technology has been deprecated by IIT.</p>"
Oracle Webcenter,endure,tools,FALSE,"<p>IIT is using Oracle Webcenter for document management services.  A custom API exists such that IIT projects can integrate with Webcenter to provide document management as a common service.  Work is currently underway to evaluate OpenKM as a ""lift and shift"" replacement for WCC.</p>"
Orbeon Forms,adopt,tools,FALSE,<p>Orbeon forms is the IIT standard for building and deploying forms.  It includes complex validation and branch and skip capabilities.  IIT is currently using the community open source version of Orbeon forms.</p>
Patroni,adopt,tools,TRUE,<p>Patroni is a cluster manager used to customize and automate deployment and maintenance of PostgreSQL HA (High Availability) clusters.  IIT uses Patroni images on the Openshift Container Platform to deliver highly available PostgreSQL database services to container based applications.</P>
Postgis,adopt,tools,TRUE,"<p>PostGIS is a open source spatial database extender for PostgreSQL object-relational database. It adds support for geographic objects allowing location queries to be run in SQL. In addition to basic location awareness, PostGIS offers many features rarely found in other competing spatial databases such as Oracle Locator/Spatial and SQL Server.  PostGIS is endorsed as an IIT preferred technolgy particularily given our clients considerable spatial data assets, therefore, Emerging Line of Business Systems should target POSTGIS when database spatial features are required.</p>"
PostgreSQL,adopt,tools,TRUE,<p>PostgreSQL is an open source relational database management system and is endorsed as an IIT preferred technology. Emerging LOB systems should target PostgreSQL for relational database management.</p>
SonarQube,explore,tools,TRUE,"<p>SonarQube is an open-source platform for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities. IIT uses Sonarqube for code quality checking as part of the build process for container based applications.</P>"
SQL Server,adopt,tools,FALSE,"<p>SQL Server is a relational database server by Microsoft. IIT has a substantial install base for SQL Server, most of which is to support smaller COTS applications.  SQL Server is a licensed product, either by CPU cores on the hosted server or a negotiated named user model.</p>"
Subversion,retire,tools,FALSE,<p>Subversion is an open source version control system used for legacy IIT applications.  IIT has transitioned all source code repositories to Bitbucket or Github.</p>
3Scale API,explore,platforms,TRUE,<p>3Scale is Red Hat's full scale API management platform.  An evaluation is currently underway in partnership with the BC DevExchange to look into enterprise scale API management.</p>
